Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,id,journal,author,doi,title,sci_cat,replic,hypo_tested,num_hyp,support,hyp1,hyp2,effect_size,clin_trial,prereg,prereg_link,data_state,open_data,animal,RCT,sig_level,sig_test,pval_sig,pval_type,rel_pval,sample_info,N,N_just
True,2/26/21 15:40,R_9Xi1xQFFLpd8oCJ,anonymous,EN,Christoph Schneider,JSAMS,Warren,10.1016/j.jsams.2019.01.018,Injury profiles in elite women’s T20 cricket,Epidemiology,No,No,,,,,No,No,No,,No,,No,No,No,,,,,Partial (some information missing),171,No
True,2/26/21 16:22,R_1i5wMdZ030wq5Nb,anonymous,EN,Christoph Schneider,JSAMS,Omassoli,10.1016/j.jsams.2019.04.010,Variation in renal responses to exercise in the heat with progressive acclimatisation,"Environmental physiology (heat, cold, & altitude)",No,Yes,1,Full support,"Accepting the limita-tions of using changes in sCr for diagnosis, we hypothesized thatAKI from exercise in the heat would associate with elevated lev-els of these neurohumoral and inflammatory markers, relative tobouts with no AKI (nAKI).","Significant differencesby AKI status were also observed in RPE, neurohumoral and inflam-matory markers, with the performance of RPE being comparablewith that of the other candidate biomarkers",No,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",20,No
True,2/26/21 16:36,R_cYCGNwlC8DiN0nD,anonymous,EN,Christoph Schneider,JSAMS,Northey,10.1016/j.jsams.2019.01.004,Can the intensity of physical activity be accurately measured in older adults using questionnaires?,Epidemiology,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",169,
True,2/26/21 17:05,R_2scMklMQcGIQd6P,anonymous,EN,Christoph Schneider,JSAMS,Kingsley,10.1016/j.jsams.2018.12.003,Wrist-specific accelerometry methods for estimating free-living physical activity,Other,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Relative (e.g., p < .05)",p < .001,"Yes (e.g., total and group sample sizes provided)",110,No
True,2/26/21 17:18,R_3ltWGmHdeHImo9H,anonymous,EN,Christoph Schneider,JSAMS,Immler,10.1016/j.jsams.2019.01.015,Individual flexion stiffness of ski boots,Biomechanics,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",20,No
True,2/27/21 0:57,R_1Ljs5MtsKNNx0Ev,anonymous,EN,Christoph Schneider,JSAMS,Panagodage Perera,10.1016/j.jsams.2019.05.013,"The incidence, prevalence, nature, severity and mechanisms of injury in elite female cricketers: A prospective cohort study",Epidemiology,No,No,,,,,No,No,No,,No,,No,No,No,,,,,"Yes (e.g., total and group sample sizes provided)",121,No
True,2/27/21 1:25,R_31a5j7pj5V5yl3n,anonymous,EN,Christoph Schneider,JSAMS,Ekeland,10.1016/j.jsams.2018.07.011,Injuries among children and adults in alpine skiing and snowboarding,Epidemiology,No,No,,,,,No,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,Partial (some information missing),7695,No
True,2/27/21 1:44,R_2ZByczrUXFxbZIG,anonymous,EN,Christoph Schneider,JSAMS,Bennett,10.1016/j.jsams.2018.12.011,Assessing the validity of a video-based decision-making assessment for talent identification in youth soccer,Sport performance,Yes,Yes,5,Partial support,It was hypothesisedthat older players would have superior decision-making perfor-mances (i.e. a higher response accuracy and a faster responsetime) when compared with younger players.,"As hypoth-esised, the older players were faster at responding in eachsituation, when compared with their younger counterparts.However, response accuracy was similar in all developmentalstages.",Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",387,No
True,2/28/21 3:11,R_3r3b1nJsLMKysRD,anonymous,EN,Jenny Murphy,JSAMS,Suijkerbuijk,10.1016/j.jsams.2019.07.012,Functional polymorphisms within the inflammatory pathway regulate expression of extracellular matrix components in a genetic risk dependent model for anterior cruciate ligament injuries,Basic physiology (animal and cell physiology),No,Yes,1,Unclear or not stated, Based on the a priori hypothesis it was proposed that the IL1B rs16944 CC and the IL6 rs1800795 GG downregulate the pro- duction of ECM components and should therefore be associated with an increased susceptibility to ligament injuries.,Unclear,No,No,No,,Yes,No,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",401,Yes
True,2/28/21 3:24,R_eF1iNtfWaxtkfaV,anonymous,EN,Jenny Murphy,JSAMS,Wu,10.1016/j.jsams.2019.07.009,Effects of acute aerobic and resistance exercise on executive function: An ERP study,Motor learning/control/behavior,No,Yes,2,Full support,both exercise modalities would result in superior shifting performance compared to the control condition (H1 ),The hypothesis that acute exercise would facil- itate cognitive performance (H1) was accepted. ,Yes,No,No,,Yes,Yes,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",35,Yes
True,2/28/21 3:35,R_Wpmkf5JTp3x9Fnj,anonymous,EN,Jenny Murphy,JSAMS,Pryor,10.1016/j.jsams.2019.06.003,Exacerbated heat strain during consecutive days of repeated exercise sessions in heat,"Environmental physiology (heat, cold, & altitude)",No,Yes,1,Full support,We hypothesized that physio- logical and perceptual heat strain would be greater during both the second exercise session (Bout 2) and second day (Day 2) of exercise compared to the first exercise session (Bout 1).,"Our findings revealed that participants achieved similar physiological heat strain in a shorter exercise duration during a subsequent exercise session the same day. Additionally, heat strain was greater during the second of two consecutive days of exercise",No,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",17,Yes
True,2/28/21 3:54,R_3ye1eUxUfawpEcN,anonymous,EN,Jenny Murphy,JSAMS,Cigoja,10.1016/j.jsams.2019.06.015,Does increased midsole bending stiffness of sport shoes redistribute lower limb joint work during running?,Biomechanics,No,Yes,2,Full support,It was hypothesized that the negative MTP joint work would decrease because increased MBS would limit the amount of MTP joint dorsi- flexion.,"The findings of this study suggest that increased MBS resulted in a redistribution of lower limb joint work, where significantly more positive work was performed at the MTP joint and less positive work was performed at the knee joint.",Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Relative (e.g., p < .05)",p < .001,"Yes (e.g., total and group sample sizes provided)",13,No
True,2/28/21 4:00,R_2AHhf6GHzwqsIM0,anonymous,EN,Jenny Murphy,JSAMS,Rogers,10.1016/j.jsams.2019.06.004,Tattoos do not affect exercise-induced localised sweat rate or sodium concentration,Applied exercise physiology (human),No,Yes,2,,"We hypothesised that sweat samples taken from tattooed skin would demonstrate compromised function (i.e. reduced sweat rates and increased [Na+]) compared to contralateral non-tattooed skin sam- ples, irrespective of the age of the tattoo, in keeping with previous reports using artificial sweat stimulation","Contrary to our hypothesis, results from the present study suggest that sweat rate and [Na+] do not differ between tattooed skin and contralateral non-tattooed skin.",No,No,No,,Yes,No,No,No,Yes,Yes,No,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",22,No
True,3/1/21 9:04,R_1d6tkO9OlhfyPye,anonymous,EN,Joe Warne,JSAMS,Davis,10.1016/j.jsams.2019.03.001,Mid-flight trunk flexion and extension altered segment and lower extremity joint movements and subsequent landing mechanics,Biomechanics,No,Yes,3,Full support,It was hypothesized that both men andwomen would move their trunk COM backward and their pelvisand legs COM forward when they reached backward mid-flight.,"participantsmoved the upper body COM in the posterior direction and the pelvisCOM, legs COM, and the hip joint in the anterior direction from take-off to initial landing for the Backward condition",Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",41,Yes
True,3/1/21 9:14,R_bBJ9eZJHv6hpLot,anonymous,EN,Joe Warne,JSAMS,Gauffin,10.1016/j.jsams.2019.07.004,Maintaining motivation and health among recreational runners: Panel study of factors associated with self-rated performance outcomes at competitions,Sport performance,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",245,No
True,3/1/21 9:20,R_2CHPVAyz0CWruTD,anonymous,EN,Joe Warne,JSAMS,Howe,10.1016/j.jsams.2019.02.008,Emotional intelligence and mood states impact on the stress response to a treadmill ultramarathon,Sport/exercise psychology,No,Yes,1,Not supported,it is hypothesised thatultramarathon runners with higher trait EI should display less of acortisol response compared to those with lower trait EI.,Con-trasting with the hypothesis and previous research21participantswith a higher trait EI displayed greater post-trial cortisol responseswhich may suggest the runners are able to push themselves to theirphysical limits and are better equipped at handling the emotionsthat accompany physical stress during a treadmill ultramarathon.,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",12,No
True,3/1/21 9:30,R_25GvtTiw3uxCFUQ,anonymous,EN,Joe Warne,JSAMS,Ruedl,10.1016/j.jsams.2018.09.234,Impact of listening to music while wearing a ski helmet on soundsource localization,Motor learning/control/behavior,No,Yes,1,Full support,We hypothesized that theaccuracy of sound localization diminishes with increasing soundlevel.,Increasing the sound level of music resulted in a decrease of correctscores by about 10 percent points per 10 dB,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",20,No
True,3/1/21 10:13,R_3IVKL92wp5idrKC,anonymous,EN,Jenny Murphy,JSAMS,Willis,10.1016/j.jsams.2019.05.001, Vascular and oxygenation responses of local ischemia and systemic hypoxia during arm cycling repeated sprints,"Environmental physiology (heat, cold, & altitude)",No,Yes,3,Full support,"It was hypothesized (1) that repeated sprint arm cycling performance would have greater performance impairment with systemic hypoxia, BFR, and the combination due to limited convective oxygen delivery and greater vascular resistance;","The main findings indicated that (1) arm cycling performance is heavily impaired by systemic hypoxia conditions (number of sprints and total work) mainly due to decreased convective oxy- gen delivery (SpO2 , V.O2 )",Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",16,No
True,3/1/21 10:32,R_1f2TfVmcTwFXqTT,anonymous,EN,Jenny Murphy,JSAMS,Jaakkola,10.1016/j.jsams.2019.06.018,"Longitudinal associations among cardiorespiratory and muscular fitness, motor competence and objectively measured physical activity",Other,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Relative (e.g., p < .05)",p < .001,"Yes (e.g., total and group sample sizes provided)",491,No
True,3/2/21 5:59,R_22X2peDzKdrQUxi,anonymous,EN,Christoph Schneider,JSAMS,Morente-Sánchez,10.1016/j.jsams.2019.05.010,"Attitudes, beliefs and knowledge related to doping in different categories of football players",Other,No,Yes,1,Partial support,"While the aim of this study was to discover andcompare attitudes, beliefs and knowledge about doping amongfootballers from the elite to under-18 categories, the hypothe-sis was that this sample of footballers would not be tolerantto doping,16although their beliefs and knowledge about dopingwould be improvable.","The present study suggested that, in general, the surveyed Span-ish football players were not tolerant of doping. However, theAMA and U18 groups were somewhat more permissive towardsthe use of banned substances than the other samples analyzed,while the ELI group was the least lenient one.",Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",1324,Yes
True,3/2/21 6:10,R_A1HvKXOXPDllcC5,anonymous,EN,Christoph Schneider,JSAMS,Jones,10.1016/j.jsams.2019.03.004,The prevalence of hand and wrist osteoarthritis in elite former cricket and rugby union players,Epidemiology,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Relative (e.g., p < .05)",p <.05,"Yes (e.g., total and group sample sizes provided)",267,No
True,3/2/21 6:26,R_3qP5nCXAMBI7X7R,anonymous,EN,Christoph Schneider,JSAMS,Signetti,10.1016/j.jsams.2018.10.007,Modeling and simulation of the impact behavior of softpolymeric-foam-based back protectors for winter sports,Other,No,No,,,,,Yes,No,No,,No,,No,No,No,,,,,No (sample size(s) unclear/unreported),,No
True,3/2/21 6:59,R_3PYqtR4OAivvtde,anonymous,EN,Christoph Schneider,JSAMS,Kosik,10.1016/j.jsams.2019.05.005,Decreased dynamic balance and dorsiflexion range of motion in young and middle-aged adults with chronic ankle instability,Motor learning/control/behavior,No,Yes,2,Partial support,We hypothesized middle-aged participants would havedecreased dynamic postural control and DF-ROM compared to theyounger-aged adults and participants with CAI will have decreaseddynamic postural control compared to the coper and healthy-control groups.,No significant Injury by Age interaction (p = 0.730) or Age main effect (p = 0.145) was observed for the WBLT. [...] In this study we found middle-aged adults performed worseon all three directions of the SEBT relative to young adults. Theseshorter reach distances suggest middle-aged adults have worsedynamic balance than young adults.,Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",157,No
True,3/2/21 9:27,R_RJLVXTxR0VPQTYt,anonymous,EN,Jenny Murphy,JSAMS,Verheul,10.1016/j.jsams.2019.07.006,Identifying generalised segmental acceleration patterns that contribute to ground reaction force features across different running tasks,Biomechanics,No,No,,,,,No,No,No,,Yes,No,No,No,No,,,,,"Yes (e.g., total and group sample sizes provided)",15,No
True,3/2/21 9:36,R_eXri3y5AbGHOYbT,anonymous,EN,Joe Warne,JSAMS,Jones,10.1016/j.jsams.2019.03.004,The prevalence of hand and wrist osteoarthritis in elite former cricket and rugby union players,Epidemiology,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p <.05,"Yes (e.g., total and group sample sizes provided)",127,No
True,3/2/21 9:39,R_2fdEFE1HAuBbtPk,anonymous,EN,Jenny Murphy,JSAMS,Telford,10.1016/j.jsams.2019.07.013,Drivers of adolescent adiposity: Evidence from the Australian LOOK study,Other,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",556,No
True,3/2/21 9:43,R_XLMvJms2JG3JAgV,anonymous,EN,Joe Warne,JSAMS,Morente-Sanchez,10.1016/j.jsams.2019.05.010,"Attitudes, beliefs and knowledge related to doping in different categories of football players",Sport/exercise psychology,No,Yes,1,Full support,"the hypothesis was that this sample of footballers would not be tolerant to doping,16 although their beliefs and knowledge about doping would be improvable","The present study suggested that, in general, the surveyed Spanish football players were not tolerant of doping.",No,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p <.05,"Yes (e.g., total and group sample sizes provided)",1324,No
True,3/2/21 9:54,R_AMRoGxPwd3oJwwV,anonymous,EN,Jenny Murphy,JSAMS,Gardner,10.1016/j.jsams.2019.02.003,National Rugby League match scheduling and rate of concussion,Epidemiology,No,No,,,,,No,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",402,No
True,3/2/21 10:03,R_ctHucCcafY7Hq6Z,anonymous,EN,Joe Warne,JSAMS,Signetti,10.1016/j.jsams.2018.10.007,Modeling and simulation of the impact behavior of softpolymeric-foam-based back protectors for winter sports,Biomechanics,No,No,,,,,No,No,No,,No,,No,No,Yes,No,,,,No (sample size(s) unclear/unreported),,No
True,3/2/21 10:15,R_8e5h10tTm2u4BdT,anonymous,EN,Joe Warne,JSAMS,Doering,10.1016/j.jsams.2019.03.009,Repeated muscle glycogen supercompensation with four days’ recovery between exhaustive exercise,Applied exercise physiology (human),No,Yes,1,Full support,We hypothesised that a 4-day duration of higher total CHO intake between trials would augment the capacity for glycogen storage enabling repeated muscle glycogen supercompensation and enhanced performance.,The main findings of this study were that: (1) repeated muscle glycogen supercompensation was achieved with consecutive 4 d periods of high CHO feeding; 3) successive glycogen supercompensation was accompanied by a large increase in exercise work capacity on each occasion.,Yes,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",7,No
True,3/3/21 6:19,R_2TFzkFxdbdDEEXi,anonymous,EN,Joe Warne,JSAMS,Omassoli,10.1016/j.jsams.2019.04.010,Variation in renal responses to exercise in the heat with progressive acclimatisation,Applied exercise physiology (human),No,Yes,1,Partial support,"we hypothesized thatAKI from exercise in the heat would associate with elevated lev-els of these neurohumoral and inflammatory markers, relative tobouts with no AKI (nAKI).","Our results show that AKI is prevalent in unacclimatisedvolunteers performing standardized bouts of exercise-heat stressat baseline, but is almost entirely absent after the first week of HAhas been achieved.",No,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p <.05,"Yes (e.g., total and group sample sizes provided)",20,No
True,3/3/21 6:26,R_1K2cyP3OZLa8unz,anonymous,EN,Joe Warne,JSAMS,Rowlands,10.1016/j.jsams.2019.06.016,"A data-driven, meaningful, easy to interpret, standardised accelerometer outcome variable for global surveillance",Other,No,No,,,,,No,No,No,,No,,No,No,No,,,,,Partial (some information missing),4242,No
True,3/3/21 9:10,R_C7Y94Y3TBhFd6Dv,anonymous,EN,Jenny Murphy,JSAMS,Marston,10.1016/j.jsams.2019.06.013,Resistance training enhances delayed memory in healthy middle-aged and older adults: A randomised controlled trial,Clinical research,No,Yes,2,Full support,"We hypothesised that cognitive function would improve in moderate-load intensity (i.e., high session intensity) and high-load intensity (moderate session intensity) resistance training groups when compared to a non-exercising control group","we report participants undertaking a resistance training intervention demonstrated greater improvements in delayed verbal memory (regardless of specific resistance training condition), compared with the control group.",Yes,Yes,Yes, ACTRN12616000690459.,Yes,No,No,Yes,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",45,Yes
True,3/3/21 9:16,R_3P5o4jis6ViHJye,anonymous,EN,Jenny Murphy,JSAMS,Nealon,10.1016/j.jsams.2019.05.020,MRI findings are associated with time to return to play in first class cricket fast bowlers with side strain in Australia and England,Epidemiology,No,No,,,,,Yes,No,No,,Yes,No,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",57,No
True,3/3/21 9:23,R_2zCSITQFwnasEDM,anonymous,EN,Jenny Murphy,JSAMS,Fox,10.1016/j.jsams.2019.06.012,Validity of the Polar Team Pro Sensor for measuring speed and distance indoors,Sport performance,No,No,,,,,Yes,No,No,,No,,No,Yes,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",26,Yes
True,3/4/21 7:38,R_3dQ9yLfrxn6VoBe,anonymous,EN,Joe Warne,JSAMS,Marston,10.1016/j.jsams.2019.06.013,Resistance training enhances delayed memory in healthy middle-aged and older adults: A randomised controlled trial,Clinical research,No,Yes,2,Full support,"We hypothesised that cognitive function would improve inmoderate-load intensity (i.e., high session intensity) and high-loadintensity (moderate session intensity) resistance training groupswhen compared to a non-exercising control group.","Here, wereport participants undertaking a resistance training interventiondemonstrated greater improvements in delayed verbal memory(regardless of specific resistance training condition), comparedwith the control group.",Yes,Yes,Yes,www.anzctr.org.au ACTRN12616000690459.,No,,No,Yes,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",44,No
True,3/4/21 7:43,R_2yfJ3yF7t1iRsaq,anonymous,EN,Joe Warne,JSAMS,Gardner,10.1016/j.jsams.2019.02.003,National Rugby League match scheduling and rate of concussion,Clinical research,No,No,,,,,No,No,No,,No,,No,No,Yes,Yes,Yes,"Exact (e.g., p = .049)",,"Yes (e.g., total and group sample sizes provided)",402,No
True,3/4/21 9:56,R_2SjpkZmanMx7XR6,anonymous,EN,Jenny Murphy,JSAMS,Holliday,10.1016/j.jsams.2019.05.011,The effects of relative cycling intensity on saddle pressure indexes,Biomechanics,No,Yes,1,Partial support,It was hypothesised that the mean saddle pressure as well as the area of loading would increase with the increase in intensity.,"We observed a progressive increase of the loaded area with increas- ing intensity and this occurred in all three of the saddle zones. In addition, there was a decrease in mean total force with increas- ing intensity and an increase in CoP movement with increasing intensity. Mean pressure remained unchanged",No,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p <.01,"Yes (e.g., total and group sample sizes provided)",17,No
True,3/4/21 10:14,R_3L8gRqE1N0geJXi,anonymous,EN,Jenny Murphy,JSAMS,Kosik,10.1016/j.jsams.2019.05.005, Decreased dynamic balance and dorsiflexion range of motion in young and middle-aged adults with chronic ankle instability,Biomechanics,No,Yes,1,Partial support,We hypothesized middle-aged participants would have decreased dynamic postural control and DF-ROM compared to the younger-aged adults and participants with CAI will have decreased dynamic postural control compared to the coper and healthy- control groups.,We found participants with CAI had less DF-ROM and worse dynamic balance compared to the healthy- control group regardless of age........In this study we found middle-aged adults performed worse on all three directions of the SEBT relative to young adults. ,Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",157,No
True,3/4/21 10:20,R_1kYVZ3JJATTugCe,anonymous,EN,Jenny Murphy,JSAMS,Immler,10.1016/j.jsams.2019.01.015, Individual flexion stiffness of ski boots,Biomechanics,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",156,No
True,3/4/21 15:07,R_1Y5cTtGG7iT6C4x,anonymous,EN,Christoph Schneider,JSAMS,Csapo,10.1016/j.jsams.2018.06.014,"Fitness, knee function and competition performance in professionalalpine skiers after ACL injury",Sport performance,No,No,,,,,Yes,No,No,,No,,No,No,Yes,Yes,Yes,A mix: some exact and relative p-value(s),p < .001,"Yes (e.g., total and group sample sizes provided)",46,No
