"","id","journal","author","doi","title","sci_cat","replic","hypo_tested","num_hyp","support","hyp1","hyp2","effect_size","clin_trial","prereg","prereg_link","data_state","open_data","animal","rct","sig_level","sig_test","pval_sig","pval_type","rel_pval","sample_info","n","n_just","team_leader_notes","a_doi","di_sup"
"11","Rosie_Twomey","EJSS","MacKenzie-Shalders","10.1080/17461391.2018.1561951","Are increases in skeletal muscle mass accompanied by changes to resting metabolic rate in rugby athletes over a pre-season training period?","Applied exercise physiology (human)","No","Yes",2,"Full support","It is hypothesised that measured RMR will be under-predicted by conventional equations based on body mass, due to the athletes’ higher relative contribution of lean mass to body mass, and thus RMR.","Both sampled BM-derived prediction equations i.e. Harris-Benedict 1 (Harris & Benedict, 1919) and Harris-Benedict 2 (Roza & Shizgal, 1984) and the LBM-derived Cunningham equation (Cunningham, 1991) using baseline data significantly underpredicted measured RMR at baseline and post preseason.","Yes","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",18,"No","WA agreed on 2 statements and full support. CM agreed on p values. CM happy to agree on sample size - RT reiterated that a convenience sample is not a sample size justification with team leaders.","mackenzie-shalders_10.1080/17461391.2018.1561951","Y"
"12","Rosie_Twomey","EJSS","Chao","10.1080/17461391.2019.1595741","Association of electrocardiographic left and right ventricular hypertrophy with physical fitness of military males: The CHIEF study","Applied exercise physiology (human)","No","Yes",1,"Unclear or not stated","We hypothesize that the presence of ECG-LVH or ECG-RVH may reflect the exercise performance of well-trained military males.","""Our principal findings were that military males with ECG-LVH tended to have better performance in the 3000-meter run compared to the unaffected males despite little practical relevance"". ""In addition, those males with ECG-RVH, who present more rapid resting heart rate and lower systolic blood pressure, tended to confer a 1.5-fold higher possibility of worse performance in the 2-minute sit-ups exercise.""","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",2587,"No","RT and WA agreed on unclear due to no direction in the hypothesis, vague wording of hypothesis, full support may be reading between the lines. WA happy with not coding supp material as a data statement. WA agreed with no sample size calc.","chao_10.1080/17461391.2019.1595741",NA
"13","Rosie_Twomey","EJSS","Hashizume","10.1080/17461391.2018.1539123","Between-limb differences in running technique induces asymmetric negative joint work during running","Biomechanics","No","Yes",1,"Full support","We hypothesized that the negative work is smaller for a particular side of the leg (inferior side) than the other side of the leg (superior side) for each lower extremity joint, and that the asymmetric negative work is induced by solely or combination of between-limb differences in the associated mechanical parameters.","These results support our initial hypotheses that the negative work is smaller for the inferior side than for the superior side for each lower extremity joint, and the asymmetric negative work is induced by solely or combination of between-limb differences in the associated mechanical parameters.","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","Exact (e.g., p = .049)",NA,"Yes (e.g., total and group sample sizes provided)",25,"No","Code as exact (agree with WA). Discussion over the use of ""hypotheses"" by the authors in the discussion section. We all agreed that it could be justified either way. Team leaders also considered this a tough call. Fell to the original majority decision.","hashizume_10.1080/17461391.2018.1539123","Y"
"14","Rosie_Twomey","EJSS","Touzard","10.1080/17461391.2018.1539527","Biomechanical analysis of the “waiter’s serve” on upper limb loads in young elite tennis players","Biomechanics","No","Yes",2,"Partial support","We hypothesized to find lower serve velocities and/or higher upper limb joint loads for WS group compared to NS group.","""In summary, this study identified the WS posture as a pathomechanical pattern in young elite tennis serve, involving higher upper limb joint kinetics with no effect on ball velocity."" ""the higher loadings recorded in the dominant upper limb in WS""","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",18,"No","Their language indicates find some support while also acknowledging some outcomes to not support the hypothesis. The authors find some support. The vague hypothesis is unhelpful. All agreed on partial support. Pvalues agree with RT.","touzard_10.1080/17461391.2018.1539527","Y"
"15","Rosie_Twomey","EJSS","Lizondo","10.1080/17461391.2018.1563633","Bone quality in young adults with intellectual disability involved in adapted competitive football","Other","No","Yes",1,"Full support","Our hypothesis is that due to the different endocrine and hormonal characteristics of these 2 populations with ID (DS and non-DS), bone response to physical activity may be different and less obvious in individuals with DS.","The sub-analysis of the ID groups on the basis of aetiology (DS and non- DS) revealed 3 main findings: (1) Sedentary participants with non-DS ID showed worse bone quality (lower SOS, lower stiffness index, lower T-scores, and lower estimated BMD) than sedentary DS individuals; (2) there were no differences in the bone quality parameters between DS football players and sedentary DS participants; (3) ID non-DS football players displayed significantly better QUS parameters than their sedentary counterparts, reflecting a clear bone response to exercise.","Yes","No","No",NA,"No",NA,"Yes","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",112,"No","All agreed on 'other' based on health and PA. WA agreed on full support based on review. RT had some typos. All agreed on mix and p<0.001. WA agreed on 112.","lizondo_10.1080/17461391.2018.1563633","Y"
"16","Rosie_Twomey","EJSS","Polito","17461391.2019.1596166","Caffeine and resistance exercise: the effects of two caffeine doses and the influence of individual perception of caffeine","Applied exercise physiology (human)","No","No",NA,NA,NA,NA,"No","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p <.01","Yes (e.g., total and group sample sizes provided)",14,"No","CM agreed on p values (coding for highest precision).","polito_17461391.2019.1596166",NA
"17","Rosie_Twomey","EJSS","da Silva Rolim","10.1080/17461391.2018.1532532","Caffeine increases parasympathetic reactivation without altering resting and exercise cardiac parasympathetic modulation: A balanced placebo design","Applied exercise physiology (human)","No","No",NA,NA,NA,NA,"Yes","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",21,"No","Coding as an RCT but note this is crossover. Mix due to 2 dp.","da silva rolim_10.1080/17461391.2018.1532532",NA
"18","Rosie_Twomey","EJSS","Naves","10.1080/17461391.2018.1548650","Cardiorespiratory and perceptual responses of two interval training and a continuous training protocol in healthy young men","Applied exercise physiology (human)","No","No",NA,NA,NA,NA,"Yes","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","Relative (e.g., p < .05)","p <.05","Yes (e.g., total and group sample sizes provided)",10,"Yes","Copy & paste error corrected: manuscript title. CM agreed to code as RCT - crossover. RT typo on 10 analyzed.","naves_10.1080/17461391.2018.1548650",NA
"19","Rosie_Twomey","EJSS","Jiménez-Reyes","10.1080/17461391.2018.1542032","Changes in mechanical properties of sprinting during repeated sprint in elite rugby sevens athletes","Biomechanics","No","Yes",1,"Partial support","We hypothesise that the fatigue induced by a repeated sprint protocol would result in a decrease in practical performance measures, from an associated impairment of horizontal power output (Morin et al. 2011).","The main findings from this work show that the major decrease in sprint performance was associated with a substantial decrease in both v0 (–15,1%) and Pmax (–20.1%).","Yes","No","No",NA,"No",NA,"No","No","No",NA,NA,NA,NA,"Yes (e.g., total and group sample sizes provided)",20,"No","WA and RT moved to partial based on the change in two variables (vo and pmax) rather than one (vo). RT agree on biomech.","jiménez-reyes_10.1080/17461391.2018.1542032","Y"
"20","Rosie_Twomey","EJSS","Tanaka","10.1080/17461391.2018.1534991","Characteristics of lower leg and foot muscle thicknesses in sprinters: Does greater foot muscles contribute to sprint performance?","Sport performance","No","Yes",1,"Full support","Based on these findings, we hypothesised that sprinters may have not only developed lower limb muscles but also developed foot muscles because of enhancement of the role of MTP joint during sprinting.","The present study demonstrated that thicknesses of the foot muscles, in addition to the lower leg muscles, were larger in sprinters than in non-sprinters.","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p <.05","Yes (e.g., total and group sample sizes provided)",52,"Yes","WM typo on sample size.","tanaka_10.1080/17461391.2018.1534991","Y"
"21","Rosie_Twomey","EJSS","Moeijes","10.1080/17461391.2018.1510988","Characteristics of sports participation and psychosocial health in children: Results of a cross-sectional study","Sport/exercise psychology","No","No",NA,NA,NA,NA,"Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","Exact (e.g., p = .049)","p < .001","Yes (e.g., total and group sample sizes provided)",1768,"No","All agreed on effect sizes. RT agreed on sci_cat. WA agreed on sample size. RT ask TL about p values (no relative but all 2 dp). Team leaders voted to code this as exact.","moeijes_10.1080/17461391.2018.1510988",NA
"22","Rosie_Twomey","EJSS","Ballester","10.1080/17461391.2019.1580318","Chronic participation in externally paced, but not self-paced sports is associated with the modulation of domain-general cognition","Sport/exercise psychology","No","Yes",3,"Partial support","In the light of the non-sport-specific cognitive advantage of being an expert athlete (Voss et al., 2010), we expected better vigilance performance for both groups of athletes than for non-athletes.","No differences were found in PVT performance between the two athlete groups and between self-paced sports athletes and non-athletes, whereas athletes from externally-paced sports outperformed non-athletes. Crucially, athletes from externally-paced sports also differed from those of self-paced sports and non-athletes in the Oddball task, showing less omission and commission errors.","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",66,"Yes","WA moved to 3 hypotheses based on use of 'expect' and partial support based on review, and psychology. Agreed on mix and p<0.001.","ballester_10.1080/17461391.2019.1580318","Y"
"23","Rosie_Twomey","EJSS","Cui","10.1080/17461391.2019.1577494","Clustering tennis players’ anthropometric and individual features helps to reveal performance fingerprints","Sport performance","No","Yes",2,"Partial support","Based on previous literature, we hypothesised that players with taller height and more professional experience would have better match performance than other players.","""Their findings showed that players with higher relative quality and longer professional experience outperformed their peers during the match and achieved greater career success (Cui et al., 2017; Reid & Morris, 2013)."" ""Taller big-sized players and one-handed backhand players had overall better performance than their counterparts,""","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",189,"No","Professional experience is not discussed with height. Because there is no indication from the authors that this composite (this and this) hypothesis, we agreed on partial support. WA agreed on data. Agree with CM on sample size. Issue of pts vs. observations applies.","cui_10.1080/17461391.2019.1577494","Y"
"24","Rosie_Twomey","EJSS","Leeder","10.1080/17461391.2019.1585478","Cold water immersion improves recovery of sprint speed following a simulated tournament","Sport performance","No","Yes",1,"Not supported","It was hypothesised that CWI in accordance with the majority of the literature to date, would be effective at reducing DOMS, but have no effect on other markers of recovery.","Cold water immersion was associated with attenuating the efflux of CK towards the latter end of the simulated tournament. Cold water immersion was ineffective in reducing markers of inflammation, oxidative stress or muscular soreness.","Yes","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",21,"No","RT agreed with no support based on review. Agreed on p<0.001. Team leaders voted Sports Performance because team could not reach agreement.","leeder_10.1080/17461391.2019.1585478","N"
"25","Rosie_Twomey","EJSS","Maroto-Izquierdo","10.1080/17461391.2019.1588920","Comparison of the musculoskeletal effects of different iso-inertial resistance training modalities: Flywheel vs. electric-motor","Applied exercise physiology (human)","No","Yes",1,"Not supported","Given the current options to produce EO during iso-inertial RT and the belief that greater EO during iso-inertial exercise may promote larger adaptations, we designed a study to investigate","Therefore, it seems that the magnitude of EO offered by either flywheel or motor-driven iso-inertial RT does not have a major impact on the resistance exerciseinduced muscle adaptations.","Yes","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","Relative (e.g., p < .05)","p < .001","Yes (e.g., total and group sample sizes provided)",40,"No","Agree with RT on p values. WA agreef that belief = hypoth.","maroto-izquierdo_10.1080/17461391.2019.1588920","N"
"26","Rosie_Twomey","EJSS","Gutiérrez-Davila","10.1080/17461391.2018.1539122","Components of attack response inhibition in fencing: Components of attack response inhibition in fencing","Biomechanics","No","Yes",1,"Unclear or not stated","it was hypothesized that SOA values &lt;200 ms would affect the motor execution of attack in fencing, thereby inducing the fencer to error.","UNCLEAR","No","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","Relative (e.g., p < .05)","p < .001","Yes (e.g., total and group sample sizes provided)",18,"No","CM agreed on p values (coding for highest precision).","gutiérrez-davila_10.1080/17461391.2018.1539122",NA
"27","Rosie_Twomey","EJSS","Duvnjak-Zaknich","10.1080/17461391.2018.1512653","Continuous and intermittent heat acclimation and decay in team sport athletes","Environmental physiology (heat, cold, & altitude)","No","Yes",1,"Full support","It was hypothesised that there would be no difference between acclimation protocols in repeat-sprint performance in the heat or for decay, thereby making an INT approach a more ‘user-friendly’ method for use by team-sport players.","Practically, with no significant differences found between continuous and intermittent protocols, non-consecutive acclimation exposures may provide a more convenient (alternative) heat acclimation protocol.","Yes","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p <.05","Yes (e.g., total and group sample sizes provided)",16,"Yes","CM agreed on RCT for randomized designs.","duvnjak-zaknich_10.1080/17461391.2018.1512653","Y"
"28","Rosie_Twomey","EJSS","Ludyga","17461391.2018.1529826","Core executive functions are selectively related to different facets of motor competence in preadolescent children","Motor learning/control/behavior","No","Yes",2,"Partial support","Based on previous findings in the same age group, we expected high motor competences to be associated with high inhibitory control and working memory, but not high cognitive flexibility (Rigoli et al., 2012).","""Inhibitory control is not linked with locomotor skills"" ""locomotor skills were correlated with working memory"" ""Task-switching is not associated with any of the motor competences.""","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",89,"Yes","WA agreed on partial support. Agree on p<0.001.","ludyga_17461391.2018.1529826","Y"
"29","Rosie_Twomey","EJSS","von Rosen","10.1080/17461391.2018.1552721","Correlates of health in adolescent elite athletes and adolescents: A crosssectional study of 1016 adolescents","Epidemiology","No","No",NA,NA,NA,NA,"Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",1016,"Yes",NA,"von rosen_10.1080/17461391.2018.1552721",NA
"30","Rosie_Twomey","EJSS","Sasayama","10.1080/17461391.2019.1593509","Cross-sectional and longitudinal relationship between physical fitness and academic achievement in Japanese adolescents","Other","No","Yes",1,"Full support","We hypothesised that physical fitness is positively associated, both cross-sectionally and longitudinally, with academic achievement among Japanese adolescents.","The results showed that groups with high fitness levels at baseline and follow-up showed high academic achievement levels (Table II). Furthermore, students with improved 20-m shuttle run and side-to-side jump were related to higher levels of academic achievement at follow-up in Japanese and/or foreign language compared with the low-fitness group","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",1189,"No","All agreed on other but unsure on category. RT agreed on 1189","sasayama_10.1080/17461391.2019.1593509","Y"
"31","Rosie_Twomey","EJSS","Casado","10.1080/17461391.2019.1593510","Different psychophysiological responses to a high-intensity repetition session performed alone or in a group by elite middle-distance runners","Sport/exercise psychology","No","Yes",1,"Full support","it is hypothesised that elite middle-distance runners conducting highintensity running repetitions collectively would accumulate a lower level of blood lactate concentrations and would experience a lower level of perceived exertion than conducting high-intensity running repetitions individually.","We found that although overall performance and pacing behaviour across the training session did not differ between conditions, the sessions performed collectively resulted in lower post-repetition blood lactate concentrations, reduced perceived exertion, and more positive affective state.","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",16,"No","CM happy to move to 1 hypothesis based on review. WA agreed on Yes to hypotheses. Agreed with CM on Sci_Cat.","casado_10.1080/17461391.2019.1593510","Y"
"32","Rosie_Twomey","EJSS","KAWAMOTO","10.1080/17461391.2018.1552720","Directionally compensated mechanical work provided by the shoulder leads to similar racket velocities during open and square stance forehand groundstrokes in tennis","Biomechanics","No","No",NA,NA,NA,NA,"Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","Exact (e.g., p = .049)",NA,"Yes (e.g., total and group sample sizes provided)",13,"No","P values recoded as exact. Sample size= 13 (12 right handed).","kawamoto_10.1080/17461391.2018.1552720",NA
"33","Rosie_Twomey","EJSS","Croix","10.1080/17461391.2019.1575913","Does maturation influence neuromuscular performance and muscle damage after competitive match-play in youth male soccer players?","Applied exercise physiology (human)","No","No",NA,NA,NA,NA,"Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","Relative (e.g., p < .05)","p < .001","Yes (e.g., total and group sample sizes provided)",24,"No","CM agreed on pa values (highest precision). All agreed that 24 analyzed.","croix_10.1080/17461391.2019.1575913",NA
"34","Rosie_Twomey","EJSS","Carretero-Navarro","10.1080/17461391.2018.1537378","Effect of different loading conditions on running mechanics at different velocities","Biomechanics","No","Yes",1,"Unclear or not stated","we hypothesized that running mechanics will be altered under different loading and velocity conditions in order to adjust leg and vertical stiffness to maximize neuromuscular efficiency.","UNCLEAR","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",13,"No","RT moved to unclear. CM agreed on p values","carretero-navarro_10.1080/17461391.2018.1537378",NA
"35","Rosie_Twomey","EJSS","De Oliveira","10.1080/17461391.2019.1572227","Effect of individualized resistance training prescription with heart rate variability on individual muscle hypertrophy and strength responses","Applied exercise physiology (human)","No","Yes",1,"Not supported","We hypothesized that the RT-IND would produce greater TTV over a fixed number of training sessions, thus resulting in larger muscle strength and hypertrophy gains and less variability in adaptations than the RT-FIX","""Our main finding was that individualized recovery interval, as assessed by the RMSSD, did not enhance muscle strength and hypertrophy gains, and did not reduce the variability of adaptations in young men compared with constant recovery interval."" ""the progression of TTV was similar between groups, which also resulted in an accumulated TTV similar at the end of the 20 training sessions""","Yes","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",20,"No","CM agreed on coding as RCT for randomized. All agreed on 20 analyzed (22 randomized) & group info provided (10 and 10).","de oliveira_10.1080/17461391.2019.1572227","N"
"36","Rosie_Twomey","EJSS","Choi","10.1080/17461391.2018.1544279","Effect of novel recovery garments utilising nanodiamond- and nanoplatinum-coated materials (DPV576-C) on physical and psychological stress in baseball players: A randomised, placebo-controlled trial","Sport performance","No","Yes",1,"Full support","We hypothesised that wearing DPV576-C garments after intensified training would promote players’ recovery from physical and psychological stress.","The main findings of this study were that wearing the DPV576-C garments at night following daily strenuous training over a two-week period significantly decreased salivary cortisol levels and suppressed an increase in TMD levels. These findings suggest that wearing DPV576-C garments at night can enhance recovery and reduce physical and psychological stress following short-term intensified training, and thereby, have beneficial effects on the physical and psychological stress of athletes in competitive sports.","Yes","No","No",NA,"No",NA,"No","Yes","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p <.05","Yes (e.g., total and group sample sizes provided)",38,"No",NA,"choi_10.1080/17461391.2018.1544279","Y"
"37","Rosie_Twomey","EJSS","Vera","10.1080/17461391.2018.1505959","Effect of the level of effort during resistance training on intraocular pressure","Applied exercise physiology (human)","No","Yes",3,"Full support","We hypothesized that (I) a higher level of effort would be associated with an increase in IOP (Vera et al., 2017b)","Our first hypothesis was confirmed since we observed a progressive IOP rise with higher levels of effort","Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","A mix: some exact and relative p-value(s)","p < .001","Yes (e.g., total and group sample sizes provided)",25,"No","WA agreed on full support. CM agreed on sample size.","vera_10.1080/17461391.2018.1505959","Y"
"38","Rosie_Twomey","EJSS","Pérez","10.1080/17461391.2018.1539124","Effect of two different intensity distribution training programmes on aerobic and body composition variables in ultra-endurance runners","Applied exercise physiology (human)","No","No",NA,NA,NA,NA,"Yes","No","No",NA,"No",NA,"No","No","Yes","Yes","Yes","Exact (e.g., p = .049)",NA,"Yes (e.g., total and group sample sizes provided)",20,"No","CM agreed 20 analyzed. Although there are rel values, they are also presented as exact elsewhere (use of rel is just abbreviated). Agreed to code randomized as RCT.","pérez_10.1080/17461391.2018.1539124",NA
